id,type,brand,series,models,price,year,title,url,images
8119,laptop,Dell,,,60,2019,Dell Latitude 5501 Intel Core i5 9th Gen,latitude-5501-intel-core-i5-9th-gen,dell-latitude-5501-intel-core-i5-9th-gen.webp
8120,laptop,Dell,,,90,2019,Dell Latitude 5501 Intel Core i7 9th Gen,latitude-5501-intel-core-i7-9th-gen,dell-latitude-5501-intel-core-i7-9th-gen.webp
8121,laptop,Dell,,,70,2020,Dell Latitude 5411 Intel Core i5 10th Gen,latitude-5411-intel-core-i5-10th-gen,dell-latitude-5411-intel-core-i5-10th-gen.webp
8122,laptop,Dell,,,95,2020,Dell Latitude 5411 Intel Core i7 10th Gen,latitude-5411-intel-core-i7-10th-gen,dell-latitude-5411-intel-core-i7-10th-gen.webp
8123,laptop,Dell,,,85,2020,Dell Latitude 5510 Intel Core i5 10th Gen,latitude-5510-intel-core-i5-10th-gen,dell-latitude-5510-intel-core-i5-10th-gen.webp
8124,laptop,Dell,,,130,2020,Dell Latitude 5510 Intel Core i7 10th Gen,latitude-5510-intel-core-i7-10th-gen,dell-latitude-5510-intel-core-i7-10th-gen.webp
8125,laptop,Dell,,,110,2020,Dell Latitude 7410 Intel Core i5 10th Gen,latitude-7410-intel-core-i5-10th-gen,dell-latitude-7410-intel-core-i5-10th-gen.webp
8126,laptop,Dell,,,140,2020,Dell Latitude 7410 Intel Core i7 10th Gen,latitude-7410-intel-core-i7-10th-gen,dell-latitude-7410-intel-core-i7-10th-gen.webp
8127,laptop,Dell,,,55,2016,Dell Latitude 5414 Rugged Intel Core i5 6th Gen,latitude-5414-rugged-intel-core-i5-6th-gen,dell-latitude-5414-rugged-intel-core-i5-6th-gen.webp
8128,laptop,Dell,,,90,2016,Dell Latitude 5414 Rugged Intel Core i7 6th Gen,latitude-5414-rugged-intel-core-i7-6th-gen,dell-latitude-5414-rugged-intel-core-i7-6th-gen.webp
8129,laptop,Dell,,,90,2018,Dell Latitude 5424 Rugged Intel Core i5 8th Gen,latitude-5424-rugged-intel-core-i5-8th-gen,dell-latitude-5424-rugged-intel-core-i5-8th-gen.webp
8130,laptop,Dell,,,120,2018,Dell Latitude 5424 Rugged Intel Core i7 8th Gen,latitude-5424-rugged-intel-core-i7-8th-gen,dell-laptop.webp
