id,title,url,images,type,brand,display,year,price,time_changed
11566,Apple iPhone 12 Mini 128GB A2176,iphone-12-mini-128gb-a2176,,phone,Apple,1,2020,70,2023-02-01 06:57:41
11567,Apple iPhone 12 Mini 256GB A2176,iphone-12-mini-256gb-a2176,,phone,Apple,1,2020,75,2023-02-01 06:58:01
11568,Apple iPhone 12 Mini 64GB A2398,iphone-12-mini-64gb-a2398,,phone,Apple,1,2020,55,2023-02-01 06:55:43
11569,Apple iPhone 12 Mini 128GB A2398,iphone-12-mini-128gb-a2398,,phone,Apple,1,2020,70,2023-02-01 06:55:58
11570,Apple iPhone 12 Mini 256GB A2398,iphone-12-mini-256gb-a2398,,phone,Apple,1,2020,75,2023-02-01 06:58:03
11571,Apple iPhone 12 Mini 64GB A2399,iphone-12-mini-64gb-a2399,,phone,Apple,1,2020,55,2023-02-01 06:49:01
11572,Apple iPhone 12 Mini 128GB A2399,iphone-12-mini-128gb-a2399,,phone,Apple,1,2020,70,2023-02-01 06:49:47
11573,Apple iPhone 12 Mini 256GB A2399,iphone-12-mini-256gb-a2399,,phone,Apple,1,2020,75,2023-02-01 06:58:06
11598,Apple iPhone 12 64GB A2172,iphone-12-64gb-a2172,,phone,Apple,1,2020,70,2023-02-01 07:47:53
11599,Apple iPhone 12 128GB A2172,iphone-12-128gb-a2172,,phone,Apple,1,2020,75,2023-02-01 07:50:41
11600,Apple iPhone 12 256GB A2172,iphone-12-256gb-a2172,,phone,Apple,1,2020,80,2023-02-01 07:51:16
11601,Apple iPhone 12 64GB A2402,iphone-12-64gb-a2402,apple-iphone-12-64gb-a2402.webp,phone,Apple,1,2020,70,2023-02-01 07:47:51
11602,Apple iPhone 12 128GB A2402,iphone-12-128gb-a2402,,phone,Apple,1,2020,75,2023-02-08 00:33:24
11603,Apple iPhone 12 256GB A2402,iphone-12-256gb-a2402,,phone,Apple,1,2020,80,2023-02-01 07:51:18
11604,Apple iPhone 12 64GB A2403,iphone-12-64gb-a2403,,phone,Apple,1,2020,70,2023-02-01 07:47:47
11605,Apple iPhone 12 128GB A2403,iphone-12-128gb-a2403,,phone,Apple,1,2020,75,2023-02-01 07:50:44
11606,Apple iPhone 12 256GB A2403,iphone-12-256gb-a2403,,phone,Apple,1,2020,80,2023-02-01 07:51:20
11631,Apple iPhone 12 Pro 128GB A2341,iphone-12-pro-128gb-a2341,,phone,Apple,1,2020,85,2023-02-01 07:03:38
11632,Apple iPhone 12 Pro 256GB A2341,iphone-12-pro-256gb-a2341,,phone,Apple,1,2020,100,2023-02-01 07:03:59
11633,Apple iPhone 12 Pro 512GB A2341,iphone-12-pro-512gb-a2341,,phone,Apple,1,2020,110,2023-02-01 07:04:24
11634,Apple iPhone 12 Pro 128GB A2406,iphone-12-pro-128gb-a2406,,phone,Apple,1,2020,90,2023-02-01 07:07:50
11635,Apple iPhone 12 Pro 256GB A2406,iphone-12-pro-256gb-a2406,,phone,Apple,1,2020,100,2023-02-01 07:07:57
11636,Apple iPhone 12 Pro 512GB A2406,iphone-12-pro-512gb-a2406,,phone,Apple,1,2020,115,2023-02-01 07:08:01
