id,title,url,images,type,brand,series,model,year,price,time_changed
4187,"Razer Blade Stealth 13.3"" Intel Core i7 7th Gen Non Touch Screen",/razer/blade-stealth-13-3-intel-core-i7-7th-gen-non-touch-screen,razer-blade-stealth-13-3-intel-core-i7-7th-gen-non-touch-screen.webp,laptop,Razer,,,2017,85,2023-06-22 01:10:37
4188,"Razer Blade Stealth 13.3"" Intel Core i7 8th Gen Non Touch Screen",/razer/blade-stealth-13-3-intel-core-i7-8th-gen-non-touch-screen,razer-blade-stealth-13-3-intel-core-i7-8th-gen-non-touch-screen.webp,laptop,Razer,,,2018,100,2023-06-22 01:10:46
4189,MSI CX62 Intel Core i5 6th Gen,/msi/cx62-intel-core-i5-6th-gen,msi-cx62-intel-core-i5-6th-gen.webp,laptop,MSI,,,2016,35,2023-06-19 10:04:27
4190,MSI CX62 Intel Core i5 7th Gen,/msi/cx62-intel-core-i5-7th-gen,msi-cx62-intel-core-i5-7th-gen.webp,laptop,MSI,,,2017,90,2023-06-20 03:05:39
4191,MSI CX72 Intel Core i5 6th Gen,/msi/cx72-intel-core-i5-6th-gen,msi-cx72-intel-core-i5-6th-gen.webp,laptop,MSI,,,2016,35,2023-06-19 10:04:38
4192,MSI CX72 Intel Core i5 7th Gen,/msi/cx72-intel-core-i5-7th-gen,msi-cx72-intel-core-i5-7th-gen.webp,laptop,MSI,,,2017,40,2023-06-19 10:04:42
4194,MSI GE62 Intel Core i7 6th Gen,/msi/ge62-intel-core-i7-6th-gen,msi-ge62-intel-core-i7-6th-gen.webp,laptop,MSI,,,2016,90,2023-06-19 10:09:46
4195,MSI GE62 Intel Core i7 7th Gen,/msi/ge62-intel-core-i7-7th-gen,msi-ge62-intel-core-i7-7th-gen.webp,laptop,MSI,,,2017,120,2023-06-19 10:10:11
4196,MSI GE63 Intel Core i7 7th Gen,/msi/ge63-intel-core-i7-7th-gen,msi-ge63-intel-core-i7-7th-gen.webp,laptop,MSI,,,2017,130,2023-06-19 10:11:04
4197,MSI GE63 Intel Core i7 8th Gen,/msi/ge63-intel-core-i7-8th-gen,msi-ge63-intel-core-i7-8th-gen.webp,laptop,MSI,,,2018,140,2023-06-19 10:11:08
4200,MSI GE72 Intel Core i7 6th Gen,/msi/ge72-intel-core-i7-6th-gen,msi-ge72-intel-core-i7-6th-gen.webp,laptop,MSI,,,2016,60,2023-06-20 03:05:11
4201,MSI GE72 Intel Core i7 7th Gen,/msi/ge72-intel-core-i7-7th-gen,msi-ge72-intel-core-i7-7th-gen.webp,laptop,MSI,,,2017,70,2023-06-20 03:05:14
4202,MSI GE73 Intel Core i7 7th Gen,/msi/ge73-intel-core-i7-7th-gen,msi-ge73-intel-core-i7-7th-gen.webp,laptop,MSI,,,2017,80,2023-06-20 03:05:17
4203,MSI GE73 Intel Core i7 8th Gen,/msi/ge73-intel-core-i7-8th-gen,msi-ge73-intel-core-i7-8th-gen.webp,laptop,MSI,,,2018,95,2023-06-20 03:05:21
4204,MSI GF62 Intel Core i7 7th Gen,/msi/gf62-intel-core-i7-7th-gen,msi-gf62-intel-core-i7-7th-gen.webp,laptop,MSI,,,2017,80,2023-06-20 01:46:02
4205,MSI GF62 Intel Core i7 8th Gen,/msi/gf62-intel-core-i7-8th-gen,msi-gf62-intel-core-i7-8th-gen.webp,laptop,MSI,,,2018,90,2023-06-20 01:46:05
4206,MSI GF63 Intel Core i5 8th Gen,/msi/gf63-intel-core-i5-8th-gen,msi-gf63-intel-core-i5-8th-gen.webp,laptop,MSI,,,2018,65,2023-06-20 01:46:10
4207,MSI GF63 Intel Core i7 8th Gen,/msi/gf63-intel-core-i7-8th-gen,msi-gf63-intel-core-i7-8th-gen.webp,laptop,MSI,,,2018,95,2023-06-20 01:46:16
4208,MSI GF72 Intel Core i7 7th Gen,/msi/gf72-intel-core-i7-7th-gen,msi-gf72-intel-core-i7-7th-gen.webp,laptop,MSI,,,2017,150,2023-06-20 01:59:47
4209,MSI GF72 Intel Core i7 8th Gen,/msi/gf72-intel-core-i7-8th-gen,msi-gf72-intel-core-i7-8th-gen.webp,laptop,MSI,,,2018,165,2023-06-20 01:59:43
4210,MSI GL62 Intel Core i5 7th Gen,/msi/gl62-intel-core-i5-7th-gen,msi-gl62-intel-core-i5-7th-gen.webp,laptop,MSI,,,2017,105,2023-06-20 03:04:56
4211,MSI GL62 Intel Core i7 7th Gen,/msi/gl62-intel-core-i7-7th-gen,msi-gl62-intel-core-i7-7th-gen.webp,laptop,MSI,,,2017,130,2023-06-20 03:04:50
4212,MSI GL63 Intel Core i7 8th Gen,/msi/gl63-intel-core-i7-8th-gen,msi-gl63-intel-core-i7-8th-gen.webp,laptop,MSI,,,2018,145,2023-06-20 03:05:00
4213,MSI GL72 Intel Core i7 6th Gen,/msi/gl72-intel-core-i7-6th-gen,msi-gl72-intel-core-i7-6th-gen.webp,laptop,MSI,,,2016,105,2023-06-20 02:35:34
4214,MSI GL72 Intel Core i7 7th Gen,/msi/gl72-intel-core-i7-7th-gen,msi-gl72-intel-core-i7-7th-gen.webp,laptop,MSI,,,2010,115,2023-06-20 02:35:39
