id,title,url,images,type,brand,display,year,price,time_changed
12086,Apple iPad Air 5th Gen 64GB Wi-Fi,ipad-air-5th-gen-64gb-wi_fi,apple-ipad-air-5th-gen-64gb-wi_fi.webp,tablet,Apple,1,2022,120,2023-02-17 02:26:34
12087,Apple iPad Air 5th Gen 256GB Wi-Fi,ipad-air-5th-gen-256gb-wi_fi,apple-ipad-air-5th-gen-256gb-wi_fi.webp,tablet,Apple,1,2022,200,2023-02-17 02:26:57
12088,Apple iPad Mini 5th Gen 64GB Wi-Fi + Cellular,ipad-mini-5th-gen-64gb-wi_fi-cellular,apple-ipad-mini-5th-gen-64gb-wi_fi-cellular.webp,tablet,Apple,1,2019,95,2023-02-17 02:28:58
12089,Apple iPad Mini 5th Gen 256GB Wi-Fi + Cellular,ipad-mini-5th-gen-256gb-wi_fi-cellular,apple-ipad-mini-5th-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2019,110,2023-02-17 02:29:19
12090,Apple iPad Mini 5th Gen 64GB Wi-Fi,ipad-mini-5th-gen-64gb-wi_fi,apple-ipad-mini-5th-gen-64gb-wi_fi.webp,tablet,Apple,1,2019,80,2023-02-17 02:28:51
12091,Apple iPad Mini 5th Gen 256GB Wi-Fi,ipad-mini-5th-gen-256gb-wi_fi,apple-ipad-mini-5th-gen-256gb-wi_fi.webp,tablet,Apple,1,2019,95,2023-02-17 02:29:24
12092,Apple iPad Mini 6th Gen 64GB Wi-Fi + Cellular,ipad-mini-6th-gen-64gb-wi_fi-cellular,apple-ipad-mini-6th-gen-64gb-wi_fi-cellular.webp,tablet,Apple,1,2021,140,2023-02-17 02:30:27
12093,Apple iPad Mini 6th Gen 64GB Wi-Fi,ipad-mini-6th-gen-64gb-wi_fi,apple-ipad-mini-6th-gen-64gb-wi_fi.webp,tablet,Apple,1,2021,120,2023-02-17 02:30:15
12094,Apple iPad Mini 6th Gen 256GB Wi-Fi + Cellular,ipad-mini-6th-gen-256gb-wi_fi-cellular,apple-ipad-mini-6th-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2021,170,2023-02-17 02:31:11
12095,Apple iPad Mini 6th Gen 256GB Wi-Fi,ipad-mini-6th-gen-256gb-wi_fi,apple-ipad-mini-6th-gen-256gb-wi_fi.webp,tablet,Apple,1,2021,145,2023-02-17 02:31:06
12096,Apple iPad Pro 10.5 1st Gen 64GB Wi-Fi + Cellular,ipad-pro-10-5-1st-gen-64gb-wi_fi-cellular,apple-ipad-pro-10-5-1st-gen-64gb-wi_fi-cellular.webp,tablet,Apple,1,2017,55,2023-02-20 02:50:13
12097,Apple iPad Pro 10.5 1st Gen 256GB Wi-Fi + Cellular,ipad-pro-10-5-1st-gen-256gb-wi_fi-cellular,apple-ipad-pro-10-5-1st-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2017,65,2023-02-20 02:58:16
12098,Apple iPad Pro 10.5 1st Gen 512GB Wi-Fi + Cellular,ipad-pro-10-5-1st-gen-512gb-wi_fi-cellular,apple-ipad-pro-10-5-1st-gen-512gb-wi_fi-cellular.webp,tablet,Apple,1,2017,75,2023-02-20 02:58:25
12099,Apple iPad Pro 10.5 1st Gen 64GB Wi-Fi,ipad-pro-10-5-1st-gen-64gb-wi_fi,apple-ipad-pro-10-5-1st-gen-64gb-wi_fi.webp,tablet,Apple,1,2017,45,2023-02-20 02:50:15
12100,Apple iPad Pro 10.5 1st Gen 256GB Wi-Fi,ipad-pro-10-5-1st-gen-256gb-wi_fi,apple-ipad-pro-10-5-1st-gen-256gb-wi_fi.webp,tablet,Apple,1,2017,55,2023-02-20 02:58:19
12101,Apple iPad Pro 10.5 1st Gen 512GB Wi-Fi,ipad-pro-10-5-1st-gen-512gb-wi_fi,apple-ipad-pro-10-5-1st-gen-512gb-wi_fi.webp,tablet,Apple,1,2017,65,2023-02-20 02:58:27
12102,Apple iPad Pro 12.9 2nd Gen 64GB Wi-Fi + Cellular,ipad-pro-12-9-2nd-gen-64gb-wi_fi-cellular,apple-ipad-pro-12-9-2nd-gen-64gb-wi_fi-cellular.webp,tablet,Apple,1,2017,80,2023-02-20 04:29:36
12103,Apple iPad Pro 12.9 2nd Gen 128GB Wi-Fi + Cellular,ipad-pro-12-9-2nd-gen-128gb-wi_fi-cellular,apple-ipad-pro-12-9-2nd-gen-128gb-wi_fi-cellular.webp,tablet,Apple,1,2017,100,2023-02-20 04:28:27
12104,Apple iPad Pro 12.9 2nd Gen 256GB Wi-Fi + Cellular,ipad-pro-12-9-2nd-gen-256gb-wi_fi-cellular,apple-ipad-pro-12-9-2nd-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2017,110,2023-02-20 04:28:19
